name,description,latitude,longitude
"KFC-Arleta,CA",,34.2348,-118.43985
"KFC-Artesia,CA",,33.85821,-118.08229
"KFC-Atascadero,CA",,35.49582,-120.68227
"KFC-Atwater,CA",,37.34685,-120.61114
"KFC-Auburn,CA",,38.93619,-121.09371
"KFC-Auburn,CA",,38.92305,-121.05599
"KFC-Azusa,CA",,34.12955,-117.89322
"KFC-Bakersfield,CA",,35.38362,-119.10893
"KFC-Bakersfield,CA",,35.31837,-119.07264
"KFC-Bakersfield,CA",,35.41243,-119.03924
"KFC-Bakersfield,CA",,35.35398,-119.03745
"KFC-Bakersfield,CA",,35.31745,-119.01877
"KFC-Bakersfield,CA",,35.37041,-119.00262
"KFC-Bakersfield,CA",,35.37585,-118.96732
"KFC-Bakersfield,CA",,35.39776,-118.96646
"KFC-Bakersfield,CA",,35.29597,-119.03309
"KFC-Baldwin Park,CA",,34.0854,-117.96356
"KFC-Banning,CA",,33.92528,-116.8977
"KFC-Barstow,CA",,34.84729,-117.08283
"KFC-Barstow,CA",,34.89858,-117.02264
"KFC-Bell Gardens,CA",,33.96797,-118.16412
"KFC-Bell,CA",,33.97191,-118.18768
"KFC-Bellflower,CA",,33.88953,-118.12177
"KFC-Benicia,CA",,38.05397,-122.15371
"KFC-Big Bear Lake,CA",,34.24325,-116.89004
"KFC-Blythe,CA",,33.60535,-114.60526
"KFC-Bonita,CA",,32.67008,-117.02222
"KFC-Brawley,CA",,32.97878,-115.54427
"KFC-Brentwood,CA",,37.96153,-121.73455
"KFC-Brentwood,CA",,37.94278,-121.69605
"KFC-Buena Park,CA",,33.86068,-117.99835
"KFC-Burbank,CA",,34.1846,-118.34956
"KFC-Calexico,CA",,32.69415,-115.50225
"KFC-Camarillo,CA",,34.2366,-119.03809
"KFC-Cameron Park,CA",,38.66171,-120.9704
"KFC-Campbell,CA",,37.29083,-121.95002
"KFC-Canoga Park,CA",,34.20087,-118.60494
"KFC-Canoga Park,CA",,34.2012,-118.57106
"KFC-Canyon Country,CA",,34.4159,-118.47237
"KFC-Capitola,CA",,36.97908,-121.96474
"KFC-Carlsbad,CA",,33.16087,-117.34605
"KFC-Carson,CA",,33.83173,-118.28642
"KFC-Carson,CA",,33.86296,-118.26633
"KFC-Carson,CA",,33.80842,-118.2654
"KFC-Castro Valley,CA",,37.69489,-122.07205
"KFC-Cathedral City,CA",,33.81527,-116.45787
"KFC-Ceres,CA",,37.59438,-120.95943
"KFC-Cerritos,CA",,33.88689,-118.10014
"KFC-Cerritos,CA",,33.87345,-118.04812
"KFC-Chino Hills,CA",,33.98255,-117.71416
"KFC-Chino,CA",,34.01976,-117.68954
"KFC-Chula Vista,CA",,32.6026,-117.07811
"KFC-Chula Vista,CA",,32.63584,-117.07762
"KFC-Chula Vista,CA",,32.60635,-117.06605
"KFC-Chula Vista,CA",,32.61539,-117.02679
"KFC-Citrus Heights,CA",,38.70828,-121.31255
"KFC-Citrus Heights,CA",,38.69439,-121.2905
"KFC-Citrus Heights,CA",,38.67837,-121.26534
"KFC-Clovis,CA",,36.80811,-119.71328
"KFC-Clovis,CA",,36.79385,-119.68135
"KFC-Coachella,CA",,33.68596,-116.1814
"KFC-Colton,CA",,34.06835,-117.33546
"KFC-Compton,CA",,33.89591,-118.25198
"KFC-Compton,CA",,33.89493,-118.20808
"KFC-Concord,CA",,37.95733,-122.03737
"KFC-Concord,CA",,37.96156,-121.98473
"KFC-Corona del Mar,CA",,33.5994,-117.87236
"KFC-Corona,CA",,33.87751,-117.58503
"KFC-Corona,CA",,33.84599,-117.53848
"KFC-Coronado,CA",,32.69769,-117.17023
"KFC-Costa Mesa,CA",,33.67758,-117.91915
"KFC-Costa Mesa,CA",,33.62919,-117.91006
"KFC-Covina,CA",,34.10487,-117.90788
"KFC-Covina,CA",,34.09843,-117.8728
"KFC-Cupertino,CA",,37.31562,-122.03201
"KFC-Cypress,CA",,33.8308,-118.02864
"KFC-Daly City,CA",,37.68315,-122.48883
"KFC-Daly City,CA",,37.69375,-122.4648
"KFC-Daly City,CA",,37.70694,-122.41468
"KFC-Davis,CA",,38.54029,-121.73156
"KFC-Delano,CA",,35.77577,-119.24866
"KFC-Desert Hot Springs,CA",,33.94722,-116.50146
"KFC-Diamond Bar,CA",,33.97579,-117.83636
"KFC-Diamond Bar,CA",,34.02971,-117.80993
"KFC-Downey,CA",,33.92367,-118.15201
"KFC-Downey,CA",,33.95492,-118.13245
"KFC-Duarte,CA",,34.13944,-117.98127
"KFC-Dublin,CA",,37.70682,-121.9241
"KFC-El Cajon,CA",,32.80794,-116.97144
"KFC-El Cajon,CA",,32.73987,-116.94038
"KFC-El Cajon,CA",,32.80118,-116.93559
"KFC-El Centro,CA",,32.77791,-115.56944
"KFC-El Cerrito,CA",,37.90345,-122.30413
"KFC-El Monte,CA",,34.07453,-118.02238
"KFC-Elk Grove,CA",,38.42528,-121.48148
"KFC-Elk Grove,CA",,38.40925,-121.38593
"KFC-Emeryville,CA",,37.83466,-122.28122
"KFC-Encinitas,CA",,33.05237,-117.26131
"KFC-Escondido,CA",,33.12764,-117.08432
"KFC-Escondido,CA",,33.10423,-117.07298
"KFC-Escondido,CA",,33.14117,-117.04356
"KFC-Fair Oaks,CA",,38.66384,-121.22998
"KFC-Fairfield,CA",,38.27019,-122.03431
"KFC-Fallbrook,CA",,33.37262,-117.25362
"KFC-Folsom,CA",,38.67246,-121.16231
"KFC-Folsom,CA",,38.64664,-121.11807
"KFC-Fontana,CA",,34.12165,-117.48704
"KFC-Fontana,CA",,34.07638,-117.43581
"KFC-Fontana,CA",,34.10649,-117.43481
"KFC-Fountain Valley,CA",,33.71302,-117.9547
"KFC-Fremont,CA",,37.53714,-121.99796
"KFC-Fremont,CA",,37.53443,-121.96155
"KFC-Fremont,CA",,37.48899,-121.92789
"KFC-Fresno,CA",,36.80801,-119.86655
"KFC-Fresno,CA",,36.75759,-119.8335
"KFC-Fresno,CA",,36.83991,-119.7898
"KFC-Fresno,CA",,36.76943,-119.79081
"KFC-Fresno,CA",,36.75107,-119.7726
"KFC-Fresno,CA",,36.72972,-119.79888
"KFC-Fresno,CA",,36.74544,-119.75431
"KFC-Fresno,CA",,36.70586,-119.76993
"KFC-Fresno,CA",,36.76539,-119.73116
"KFC-Fresno,CA",,36.73583,-119.7296
"KFC-Fresno,CA",,36.78734,-119.82632
"KFC-Fullerton,CA",,33.87711,-117.95986
"KFC-Fullerton,CA",,33.85935,-117.92548
"KFC-Fullerton,CA",,33.87448,-117.88948
"KFC-Garden Grove,CA",,33.78778,-118.02828
"KFC-Garden Grove,CA",,33.75954,-117.97306
"KFC-Garden Grove,CA",,33.77632,-117.91674
"KFC-Gardena,CA",,33.91639,-118.31718
"KFC-Gardena,CA",,33.90176,-118.29339
"KFC-Gilroy,CA",,37.01312,-121.58652
"KFC-Gilroy,CA",,36.98353,-121.55756
"KFC-Glendale,CA",,34.16492,-118.28077
"KFC-Glendale,CA",,34.14821,-118.23547
"KFC-Goleta,CA",,34.44108,-119.82301
"KFC-Granada Hills,CA",,34.26467,-118.52656
"KFC-Hacienda Heights,CA",,34.00987,-117.96341
"KFC-Hawaiian Gardens,CA",,33.83169,-118.07276
"KFC-Hawthorne,CA",,33.92978,-118.35285
"KFC-Hayward,CA",,37.67004,-122.0799
"KFC-Hayward,CA",,37.6315,-122.07903
"KFC-Hayward,CA",,37.62001,-122.03606
"KFC-Healdsburg,CA",,38.60502,-122.86854
"KFC-Hemet,CA",,33.74749,-117.00233
"KFC-Hemet,CA",,33.74785,-116.93526
"KFC-Hesperia,CA",,34.42093,-117.29633
"KFC-Highland,CA",,34.12037,-117.1952
"KFC-Hollister,CA",,36.85457,-121.39876
"KFC-Huntington Beach,CA",,33.70103,-117.98824
"KFC-Huntington Beach,CA",,33.6856,-117.95429
"KFC-Huntington Beach,CA",,33.6517,-117.95336
